Field Name	en	ru	ru_FilippovaN
GiftAgent	Agent Gift	Агент, относящийся к дару	Агент Дар
LoanCO	Collection Object Loan	Заем объекта коллекции	Объект Коллекции Заем
LoanAgent	Agent Loan	Агент заема	Аген Заем
LithoStratToCO	Collection Object Lithostratigraphy	Литостратиграфия объекта коллекции	Объект Коллекции Литостратиграфия
PermitToCO	Collection Object Permit	Разрешение объекта коллекции	Объект Коллекции Разрешение
PermitIssuedToAgent	Agent Issued to Permit	Агент с правами разрешения	Агент выдавший Разрешение
PermitIssuedByAgent	Agent Issued by Permit	Агент, получивший разрешение	Агент получивший Разрешение
ProjectCO	Collection Object Project	Проект объекта коллекции	Проект Объекта Коллекции
ProjectAgent	Agent Project	Агент проекта	Проект Агента
RepoAgreeAgent	Agent Repository Agreement	Агент соглашения о хранении	Агент Соглашение о Хранении
StorageCO	Collection Object Storage	Хранение объекта коллекции	Объект Коллекции Хранение
TaxCollObject	Collection Object Taxon	Таксон объекта коллекции	Объект Коллекции Таксон
ColObjToContainer	Collection Object Container	Контейнер объекта коллекции	Объект Коллекции Контейнер
ContainerToKids	Container Collection Object Children	Подраздел контейнера объекта коллекции	Контейнер Объект Коллекции Дочерние элементы
ContainerToContainerKids	Container Container Children	Подраздел подраздела контейнера	Контейнер Дочерние элементы
ExchangeInCO	Collection Object Exchange In	Обмен внутрь объекта коллекции	Объект Коллекции Внутренний Обмен
ExchangeOutCO	Collection Object Exchange Out	Обмен вне объекта коллекции	Объект Коллекции Внешний Обмен
			
####################			
# Express Search Description			
####################			
CollObjToDeterminer_desc	Collection Objects with Determiner and Taxon for current Determinations	Объект коллекции с Определил и Таксон для текущих определений	Объект Коллекции с Определившим и Таксон для текущей идентификации
CollObToLocality_desc	Collecting Events with Localities	События сбора с местонахождениями	Событие сбора с местонахождениями
CollObject_desc	Collection Objects with determined Taxa	Объект коллекции с определенными таксонами	Объект Коллекции с идентифицированными Таксонами
GeoToTaxon_desc	Geography records where taxa were collected	Записи географии, где таксон был отмечен	Географические записи где таксоны были собраны
ColObjCollectors_desc	Collection Object with Collectors	Объект коллекции с коллекторами	Объект Коллекции с Коллекторами
AcceptedTaxon_desc	Old Taxa with their preferred names.	Ранние синонимы с принятыми названиями	Ранние таксоны с их принятыми названиями.
SynonymCollObjs_desc	Collection objects with determined Taxon names and preferred Taxon names	Объекты коллекции с определенным таксоном и принятыми названиями	Объект Коллекции с идентифицированными Таксонами и принятыми названиями
#AcceptedNameCollObjs_desc=Collection objects that are determined to be the accepted taxon name of the taxon names matching the search string			Описание Объекта Коллекции=Объект Коллекции, который был идентифицирован как принятый таксон из названий соответствующих строке поиска
OtherSynsCollObjs_desc	Collection objects with determined Taxon and its synonyms	Объекты коллекции с определенным таксоном и его синонимами	Объект Коллекции с идентифицированными таксонами и их синонимами
CurrCollObject_desc	Collection objects with Taxon for current Determinations	Объекты коллекции с таксоном для текущих определений	Объект Коллекции с Таксоном для текущих идентификаций
AgentFromAgentVariant_desc	Agents and Variants	Агенты и варианты	Агенты и Варианты
Agent_desc	Agent	Агент	Агенты и Варианты
LocalityAlias_desc	Localities with Aliases	Местонахождения с другими названиями	Местонахождения с Другими названиями
CEToCO_desc	Collection Objects related to Collecting Event	Объекты коллекции, связанные с событием сбора	Объекты Коллекции связанный с Событием Сбора
LocToCO_desc	Collection Objects related to Locality	Объекты коллекции, связанные с местонахождением	Объекты Коллекции связанные с Местонахождением
Acc2ATT_desc	Accession Attachments	Приложения к поступлению	Приложения к Поступлению
Agt2ATT_desc	Agent Attachments	Приложения к агенту	Приложения к Агенту
Co2ATT_desc	Collection Attachments	Приложения к коллекции	Приложения к Коллекции
CoEv2ATT_desc	Collecting Event Attachments	Приложения к событию сбора	Приложения к Событию Сбора
ConD2ATT_desc	Conservator Description Attachments	Приложения к описанию консервации	Приложения к Описанию Консерватора
ConE2ATT_desc	Conservator Event Attachments	Приложения к событию консерации	Приложения к Событию Консервации
DNA2ATT_desc	DNA Sequence Attachments	Приложения к ДНК сиквенсу	Приложения к ДНК сиквенсу
Fbk2ATT_desc	Field Notebook Attachments	Приложения к полевым записям	Приложения к Полевым записям
FbkPG2ATT_desc	Field Notebook Page Attachments	Приложения к странице полевой записи	Приложения к Странице полевой записи
FbkPGS2ATT_desc	Field Notebook Page Set Attachments	Приложения к серии полевых записей	Приложения к Серии полевых записей
Loc2ATT_desc	Locality Attachments	Приложения к местонахождению	Приложения к Местонахождению
Per2ATT_desc	Permit Attachments	Приложения к разрешению	Приложения к Разрешению
Prep2ATT_desc	Preparation Attachments	Приложения к препаратам	Приложения к Препаратам
Rep2ATT_desc	Repository Agreement Attachments	Приложения к соглашению	Приложения к Соглашению
Tax2ATT_desc	Taxon Attachments	Приложения к таксону	Приложения к Таксону
AccessionToCO_desc	Collection Objects associated with Accessions	Объекты коллекции, связанные с поступлениями	Объекты Коллекции, связанные с Поступлениями
AccessionToAgent_desc	Agents associated with Accessions	Агенты, связанные с поступлениями	Агенты, связанные с Поступлениями
BorrowToAgent_desc	Agents associated with Borrows	Агенты, связанные с заемом	Агенты, связанные с Заемом
AppraisalToAgent_desc	Agents associated with Appraisals	Агенты, связанные с оценкой	Агенты, связанные с Оценкой
GeoTimePeriodToCO_desc	Collection Objects associated with Chronostratigraphy	Объекты коллекции, связанные с хроностратиграфией	Объекты Коллекции, связанные с Хроностратиграфией
CollEventToCollectors_desc	Collectors for CollectingEvents	Коллекторы события сбора	Коллекторы События Сбора
CollTripCollEvent_desc	Collecting Events for Collecting Trips	События сбора для экспедиций	События сбора для Экспедиций
AgentExchangeIn_desc	Agents for incoming Exchanges	Персоны для обменов внутрь	Агенты для Внутренних Обменов
AgentExchangeOut_desc	Agents for outgoing Exchanges	Персоны для обменов вне	Агенты для Внешних Обменов
GeographyCE_desc	Collecting Events within Geography	События сбора внутри географии	События Сбора внутри Географии
GeographyCO_desc	Collection Objects collected within Geography	Объекты коллекции внутри географии	Объекты Коллекции собранные внутри Географии
GiftCO_desc	Collection Objects contained in Gifts	Объекты коллекции в даре	Объекты Коллекции содержащиеся в Дарах
GiftAgent_desc	Agents associated with Gifts	Агенты, связанные с даром	Агенты связанные с Дарами
LoanCO_desc	Collection Objects contained in Loan	Объекты коллекции из займом	Объекты Коллекции содержащиеся в Заемах
LoanAgent_desc	Agents associated with Loans	Агенты, связанные с займом	Агенты связанные с Заемами
LithoStratToCO_desc	Collection Objects associated with Lithostratigraphy	Объекты коллекции, связанные с литостратиграфией	Объекты Коллекции связанные с Литостратиграфией
PermitToCO_desc	Collection Objects with associated Permits	Объекты коллекции, связанные с разрешением	Объекты Коллекции с соответствующими Разрешениями
PermitIssuedToAgent_desc	Agents to whom Permits were issued	Агенты, получившие разрешение	Агенты которым были выданы Разрешения
PermitIssuedByAgent_desc	Agents who issued Permits	Агенты, выдавшие разрешение	Агенты которые выдали Разрешения
ProjectCO_desc	Collection Objects associated with Projects	Объекты коллекции, связанные с проектом	Объекты Коллекции связанные с Проектами
ProjectAgent_desc	Agents associated with Projects	Агенты коллекции, связанные с проектом	Агенты связанные с Проектами
RepoAgreeAgent_desc	Agents associated with Repository Agreements	Агенты, связанные с соглашением о хранении	Агента связанные с Соглашением о Хранении
StorageCO_desc	Collection Objects with Storage locations	Объекты коллекции, связанные с местом хранения	Объекты коллекции с местами Хранения
TaxCollObject_desc	Collection Objects determined to Taxa	Объекты коллекции, определенные для Таксона	Объекты Коллекции идентифицированные до Таксонов
ColObjToContainer_desc	Collection Objects that have Containers	Объекты коллекции, которые имеют контейнеры	Объекты Коллекции имеющие Контейнеры
ContainerToKids_desc	The Container's Collection Object children	Подразделы контейнера объекта коллекции	Дочерние элементы Контейнера Объектов Коллекции
ContainerToContainerKids_desc	The Container's container children	Подраздел раздела контейнера	Дочерние элементы Контейнера Контейнера
ExchangeInCO_desc	Collection Objects contained in Exchange In	Объекты коллецкии, связанные с обменом внуть	Объекты Коллекции входящие во Внутренний Обмен
ExchangeOutCO_desc	Collection Objects contained in Exchange Out	Объекты коллекции, связанные с обменом вне	Объекты Коллекции входящие во Внешний Обмен
